ConstituentID,DateAcquired,Gender,Gender_NM,Department,,Decade,MPD_A,MPD_M,MPD_NM,,M in 1960,NM in 1960,M in 2000,NM in 2000
5927,1940,male,male,Architecture & Design,,,,,,,,,,
25,1940,male,male,Architecture & Design,,,,,,,,,,
5070,1940,male,male,Painting & Sculpture,,,,,,,,,,
4493,1940,male,male,Painting & Sculpture,,,,,,,,,,
465,1940,male,male,Architecture & Design,,,,,,,,,,
470,1940,male,male,Architecture & Design,,,,,,,,,,
595,1940,male,male,Architecture & Design,,,,,,,,,,
1232,1940,male,male,Architecture & Design,,,,,,,,,,
5590,1940,male,male,Architecture & Design,,,,,,,,,,
5389,1940,male,male,Architecture & Design,,,,,,,,,,
4986,1940,male,male,Architecture & Design,,,,,,,,,,
4786,1940,male,male,Architecture & Design,,,,,,,,,,
4525,1940,male,male,Architecture & Design,,,,,,,,,,
3544,1940,male,male,Architecture & Design,,,,,,,,,,
1116,1940,male,male,Architecture & Design,,,,,,,,,,
2145,1940,male,male,Architecture & Design,,,,,,,,,,
1906,1940,male,male,Architecture & Design,,,,,,,,,,
1793,1940,male,male,Architecture & Design,,,,,,,,,,
1171,1940,male,male,Architecture & Design,,,,,,,,,,
4293,1940,male,male,Painting & Sculpture,,,,,,,,,,
4528,1940,male,male,Drawings & Prints,,,,,,,,,,
6504,1940,male,male,Drawings & Prints,,,,,,,,,,
2534,1940,male,male,Drawings & Prints,,,,,,,,,,
1339,1940,male,male,Drawings & Prints,,,,,,,,,,
7741,1940,male,male,Drawings & Prints,,,,,,,,,,
5549,1940,male,male,Drawings & Prints,,,,,,,,,,
23811,1940,male,male,Drawings & Prints,,,,,,,,,,
7740,1940,male,male,Drawings & Prints,,,,,,,,,,
3784,1940,male,male,Drawings & Prints,,,,,,,,,,
604,1940,male,male,Drawings & Prints,,,,,,,,,,
854,1940,female,non-male,Drawings & Prints,,,,,,,,,,
41210,1940,male,male,Drawings & Prints,,,,,,,,,,
407,1940,male,male,Drawings & Prints,,,,,,,,,,
5469,1940,male,male,Drawings & Prints,,,,,,,,,,
5648,1940,male,male,Drawings & Prints,,,,,,,,,,
5910,1940,male,male,Drawings & Prints,,,,,,,,,,
6046,1940,male,male,Drawings & Prints,,,,,,,,,,
2206,1940,male,male,Drawings & Prints,,,,,,,,,,
6177,1940,male,male,Drawings & Prints,,,,,,,,,,
5313,1940,male,male,Drawings & Prints,,,,,,,,,,
5205,1940,male,male,Drawings & Prints,,,,,,,,,,
6186,1940,male,male,Drawings & Prints,,,,,,,,,,
161,1940,male,male,Drawings & Prints,,,,,,,,,,
243,1940,male,male,Drawings & Prints,,,,,,,,,,
4164,1940,male,male,Drawings & Prints,,,,,,,,,,
744,1940,male,male,Drawings & Prints,,,,,,,,,,
2686,1940,male,male,Drawings & Prints,,,,,,,,,,
2920,1940,male,male,Drawings & Prints,,,,,,,,,,
2119,1940,male,male,Photography,,,,,,,,,,
4926,1940,male,male,Drawings & Prints,,,,,,,,,,
1465,1940,male,male,Drawings & Prints,,,,,,,,,,
40,1940,male,male,Drawings & Prints,,,,,,,,,,
5236,1940,male,male,Drawings & Prints,,,,,,,,,,
4885,1940,male,male,Drawings & Prints,,,,,,,,,,
36259,1940,male,male,Drawings & Prints,,,,,,,,,,
2349,1940,male,male,Drawings & Prints,,,,,,,,,,
2886,1940,male,male,Drawings & Prints,,,,,,,,,,
2044,1940,female,non-male,Drawings & Prints,,,,,,,,,,
2047,1940,female,non-male,Drawings & Prints,,,,,,,,,,
1870,1940,male,male,Drawings & Prints,,,,,,,,,,
5306,1940,female,non-male,Drawings & Prints,,,,,,,,,,
1939,1940,female,non-male,Drawings & Prints,,,,,,,,,,
4673,1940,male,male,Drawings & Prints,,,,,,,,,,
4651,1940,male,male,Drawings & Prints,,,,,,,,,,
3617,1940,male,male,Drawings & Prints,,,,,,,,,,
3626,1940,female,non-male,Drawings & Prints,,,,,,,,,,
384,1940,male,male,Drawings & Prints,,,,,,,,,,
2184,1940,male,male,Drawings & Prints,,,,,,,,,,
3913,1940,male,male,Drawings & Prints,,,,,,,,,,
3966,1940,male,male,Drawings & Prints,,,,,,,,,,
3985,1940,male,male,Drawings & Prints,,,,,,,,,,
4194,1940,male,male,Drawings & Prints,,,,,,,,,,
4229,1940,male,male,Drawings & Prints,,,,,,,,,,
4359,1940,female,non-male,Drawings & Prints,,,,,,,,,,
4465,1940,male,male,Drawings & Prints,,,,,,,,,,
3911,1940,male,male,Drawings & Prints,,,,,,,,,,
5559,1940,male,male,Drawings & Prints,,,,,,,,,,
1531,1940,male,male,Drawings & Prints,,,,,,,,,,
2469,1940,male,male,Drawings & Prints,,,,,,,,,,
2071,1940,male,male,Drawings & Prints,,,,,,,,,,
2252,1940,male,male,Drawings & Prints,,,,,,,,,,
2222,1940,male,male,Drawings & Prints,,,,,,,,,,
